No;code;202;203;204;205;206;207;208;209;210;211
1;1.1-1-1;325;325;327,5;334,17;334,17;334,17;354,17;354,17;354,17;354,17
2;1.1-1-2;322,5;322,5;323,33;331,67;331,67;331,67;346,67;342,5;342,5;342,5
3;1.1-1-3;327,5;329,17;329,17;355;370;370;370;370;370;370
4;1.1-1-4;706,8;706,8;706,8;731,5;731,5;731,5;756,2;765,7;765,7;780,9
5;1.1-1-5;65;65;65;65;65;65;65;65;65;65
6;1.1-1-6;103,33;103,33;103,33;103,33;103,33;103,33;103,33;103,33;103,33;103,33
7;1.1-1-7;444;450;450;450;465;465;465;465;465;465
8;1.1-1-8;1765;1765;1765;1765;1765;1765;1765;1765;1765;1765
9;1.1-1-9;98000;98000;98000;98000;98000;98000;98000;98000;98000;98000
10;1.1-1-10;295000;295000;295000;295000;295000;295000;295000;295000;260000;260000
11;1.1-1-11;160;168;168;168;168;168;168;168;168;168
12;1.1-1-12;110770;110770;110770;110770;110770;110770;110770;110770;110770;110770
13;1.1-1-13;68000;68000;68000;68000;68000;68000;68000;68000;68000;68000
14;1.1-1-14;308,4;308,4;308,4;308,4;308,4;308,4;308,4;308,4;365;400
15;1.1-1-15;358,33;329,17;329,17;337,5;337,5;337,5;337,5;337,5;335,83;330,83
16;1.1-1-16;46574,66;46574,66;46574,66;46574,66;46574,66;46574,66;46574,66;46574,66;46574,66;46574,66
17;1.1-1-17;22092,08;24667,2;24667,2;24667,2;24667,2;24667,2;24667,2;33833,33;33833,33;34416,67
18;1.1-1-18;457000;464000;454000;454000;454000;454000;454000;454000;454000;454000
19;1.1-1-19;148750;148750;164000;164000;164000;164000;164000;164000;187729,17;187729,17
20;1.1-1-20;124215;124215;124215;126215;126215;126215;126215;126215;126215;107478,22
21;1.1-1-21;56020;56020;56020;58020;58020;58020;58020;58020;58020;58020
22;1.1-1-23;27209;27209;27209;29209;29209;29209;29209;29209;29209;25393,22
23;1.1-1-24;25180;25180;25180;27180;27180;27180;27180;27180;27180;27180
24;1.1-1-26;482,18;482,18;482,18;482,18;482,18;482,18;598,56;598,56;581,94;581,94
25;1.1-1-27;80208,33;80208,33;80208,33;80208,33;104166,67;113541,67;113541,67;113541,67;104947,92;104947,92
26;1.1-1-28;2748,5;2829;2909,5;2909,5;2909,5;2909,5;2909,5;2566,67;2683,33;2858,33
27;1.1-1-31;54416,67;54416,67;54416,67;54416,67;54416,67;54416,67;54416,67;54416,67;54416,67;54416,67
28;1.1-1-35;54166,67;54166,67;54166,67;54166,67;54166,67;54166,67;54166,67;54166,67;54166,67;54166,67
29;1.1-1-38;83333,33;83333,33;83333,33;83333,33;83333,33;83333,33;83333,33;83333,33;100000;100000
30;1.1-1-39;35,75;35,75;35,75;35,75;35,75;35,75;35,75;35,75;35,75;35,75
31;1.1-1-40;77,5;77,5;77,5;77,5;77,5;77,5;77,5;77,5;77,5;77,5
32;1.1-1-41;55820,11;56795,17;57358,28;57328,04;57210,88;57097,51;57993,2;57947,84;57947,84;58076,34
33;1.1-1-42;296900;296900;296900;296900;296900;296900;297000;297000;297000;297000
34;1.1-1-43;34,8;34,8;34,8;34,8;34,8;34,8;34,8;34,8;34,8;34,8
35;1.1-1-45;18583,33;20500;20666,67;24083,33;30333,33;30333,33;21166,67;19833,33;20250;21500
36;1.1-1-46;38333,33;40000;40000;44320,29;45570,29;51403,63;51666,67;51666,67;41666,67;41666,67
37;1.1-1-47;33083,33;35166,67;35833,33;37666,67;41250;41250;41250;31979,17;31840,28;33506,94
38;1.1-1-48;19833,33;20500;20666,67;23125;28291,67;28645,83;21500;20250;20250;21500
39;1.1-1-49;33083,33;35166,67;35833,33;37666,67;41250;41250;41250;32812,5;32812,5;33645,83
40;1.1-1-50;33083,33;35166,67;35833,33;37666,67;41250;41250;41250;32812,5;32812,5;33645,83
41;1.1-1-51;33083,33;33223,85;33223,85;34833,33;34833,33;34833,33;33588,57;31979,17;31979,17;33588,57
42;1.1-1-52;19916,67;20583,33;20750;24833,33;28823,25;30416,67;21500;20333,33;20333,33;21500
43;1.1-1-55;128250;128250;128250;128250;128250;144166,67;144166,67;133333,33;133333,33;125000
44;1.1-1-56;132416,67;132416,67;132416,67;132416,67;132416,67;158146,67;158146,67;152617,5;165750;165750
45;1.1-1-57;114098,47;114098,47;117819,11;117819,11;118617,49;118617,49;118394,5;118394,5;118394,5;115849,1
46;1.1-1-58;114883,33;114883,33;115171,22;115171,22;119506,59;119506,59;116888,05;116888,05;116888,05;114390,45
47;1.1-1-59;174175;174175;176989,71;176989,71;182073,48;182073,48;176895,38;176895,38;176895,38;160754,97
48;1.1-1-60;111908,33;111908,33;115517,45;115517,45;121722,59;121722,59;121365,87;121365,87;121365,87;121302,31
49;1.1-1-61;246,67;246,67;246,67;246,67;246,67;246,67;246,67;246,67;246,67;246,67
50;1.1-1-64;6666,67;6666,67;6666,67;6666,67;6666,67;6666,67;6666,67;6666,67;6666,67;6666,67
51;1.1-1-65;12083,33;12083,33;12083,33;12083,33;12083,33;12083,33;12083,33;12083,33;12083,33;12083,33
52;1.1-1-66;1910,48;1910,48;1910,48;1910,48;1910,48;1910,48;1910,48;1910,48;1910,48;1910,48
53;1.1-1-67;17659,13;17659,13;17659,13;17659,13;17659,13;14817,42;14817,42;15039,79;15039,79;15039,79
54;1.1-1-68;17159,13;17159,13;17159,13;17159,13;17159,13;14317,42;14317,42;14539,79;14539,79;14539,79
55;1.1-1-69;110000;110000;110000;110000;110000;110000;110000;110000;110000;110000
56;1.1-1-70;125000;125000;125000;125000;125000;125000;125000;125000;125000;125000
57;1.1-1-71;90000;90000;90000;90000;90000;90000;90000;90000;90000;90000
58;1.1-1-72;95000;95000;95000;95000;95000;95000;95000;95000;95000;95000
59;1.1-1-73;72000;72000;72000;72000;72000;72000;72000;72000;72000;72000
60;1.1-1-74;76000;76000;76000;76000;76000;76000;76000;76000;76000;76000
61;1.1-1-75;10500;10500;10500;10500;10500;10500;10500;10500;10500;10500
